lon,lat,baseline_agb,agb_2020,agb_growth_10yr,sar_hv,sar_hh,slope,elevation,precipitation,soil_ph,soc,gedi_rh98,pdsi,tmmx,landcover
30.74251986622943,-2.623895729819168,3,20,17,1690,3903,6.536590576171875,1653,1085.16364137368,55,412,2.5,-326.1515151515151,26.454545454545457,30
30.78833394571953,-2.5987429018638153,4,13,9,1501,3561,8.685319900512695,1521,1101.353419751577,60,318,0.0,-337.5378787878788,25.840151515151515,30
28.978228648218675,-1.074301864712993,59,20,-39,3057,6463,5.623605728149414,1492,1558.943106688559,53,761,2.8399999141693115,-346.8030303030303,25.305303030303033,30
30.767672694184768,-1.5647820098422471,40,19,-21,2360,5403,0.6559287905693054,1287,1273.5654551553625,55,344,2.3499999046325684,-191.6818181818182,27.599242424242426,90
30.468533704572963,-2.7739143822671224,47,39,-8,1931,4374,4.8306355476379395,1439,1126.117989570467,56,346,0.0,-384.4015151515151,26.260606060606065,10
29.601659455397623,-2.4702838162347263,5,6,1,2696,7470,9.043228149414062,1815,1254.6625652234916,53,408,0.0,-312.79545454545456,25.005303030303033,40
30.47661854213004,-2.1298223235534266,28,23,-5,2307,4664,9.478545188903809,1401,1073.597161403669,57,385,3.5899999141693115,-292.1363636363636,27.03636363636364,20
30.062495196150962,-1.0599288201670731,17,54,37,2484,4365,24.986289978027344,1824,1038.58648859682,55,473,15.579999923706055,-303.780303030303,24.338636363636365,30
30.701197363159935,-1.0823867022700568,5,54,49,1620,3463,15.002425193786621,1340,1062.1396592247518,54,505,4.769999980926514,-161.29545454545453,27.76439393939394,10
30.212513848598917,-2.388537125379841,1,12,11,1386,3713,4.269743919372559,1419,911.7114769086501,59,294,0.0,-314.32575757575756,27.40378787878788,40
30.461347182300017,-2.0705335148015394,11,33,22,2040,4820,5.233789443969727,1504,1048.070110213261,54,349,8.829999923706055,-276.0681818181818,27.1780303030303,20
29.996918180410233,-1.4156616726784108,17,30,13,2195,7195,26.393348693847656,1968,1121.2449134995484,53,489,17.610001,-292.6287878787879,23.539393939393943,10
30.56555175525787,-1.9025485566711922,17,11,-6,2427,6325,9.378925323486328,1573,997.1853915747622,57,401,2.009999990463257,-267.31060606060606,26.73939393939394,20
29.867560779497012,-2.184619555884723,3,7,4,1928,3810,7.058218002319336,1507,1045.3488277371846,56,382,0.0,-324.5984848484849,27.052272727272726,40
30.0418339446162,-2.616709207546208,53,15,-38,2931,5740,6.284573554992676,1419,1162.4908652586694,54,395,3.0999999046325684,-394.74242424242425,27.34621212121212,10
30.71377377713759,-1.4120684115419238,32,33,1,2827,6285,1.3116402626037598,1286,1302.747956293635,55,378,0.0,-186.81060606060606,27.80454545454546,90
30.677841165772833,-1.6698848980842342,10,9,-1,1596,3311,13.91357707977295,1390,1087.7311642539942,58,360,0.0,-197.71969696969697,27.48106060606061,30
30.718265353558195,-1.8899721426935088,22,18,-4,2069,4640,5.172988414764404,1382,1103.0294575556306,56,339,6.510000228881836,-206.6818181818182,27.588636363636365,20
30.209818902746548,-2.0328042728685176,75,10,-65,2402,5976,8.686718940734863,1437,1027.4814021361913,55,315,0.0,-285.00757575757575,27.317424242424245,40
29.499251513008005,-2.2582814091825156,12,23,11,3066,6611,18.09687042236328,1721,1255.5330125957473,55,380,4.570000171661377,-295.3787878787879,25.132575757575758,30
30.202632380473602,-2.1756364030435265,7,3,-4,1809,3752,3.2450857162475586,1414,905.6578192118327,56,280,0.0,-284.15909090909093,27.695454545454545,30
30.858402537880835,-2.8260166687460497,16,24,8,2223,4684,2.0750458240509033,1398,1098.4609317783008,55,259,8.15999984741211,-328.68939393939394,26.954545454545457,40
30.744316496797666,-1.6061045129117417,8,21,13,1725,5791,0.6559354066848755,1287,1214.7968596625565,53,324,3.2300000190734863,-188.6439393939394,27.706818181818182,20
29.65825331829717,-1.9555491584342377,31,37,6,2482,4926,14.8551664352417,1526,1187.1992214638422,56,504,0.0,-280.84090909090907,26.142424242424244,10
30.27090434206667,-2.34541799174211,14,11,-3,1413,3484,5.721646785736084,1344,945.7000589609612,56,227,0.0,-258.4015151515151,27.802272727272726,40
29.056382077937087,-1.3518812875059183,35,13,-22,2772,6281,4.140872001647949,1883,1572.0011214036494,56,696,0.0,-297.8787878787879,23.106818181818184,30
29.640287012614777,-2.1109577025869157,19,6,-13,2698,6274,16.82517433166504,1606,1151.0109269964423,52,418,0.0,-285.3712121212121,25.972727272727276,10
30.74880807321827,-1.9537525278660013,63,34,-29,3086,5636,1.3917720317840576,1356,966.3983928653131,57,345,5.599999904632568,-219.87121212121212,27.74318181818182,10
30.311328529852062,-2.6777946468663316,20,23,3,2102,3995,10.403024673461914,1583,1089.6706228864432,53,347,11.229999542236328,-400.6060606060606,25.949242424242428,10
30.07058003370804,-2.4873518066330007,4,2,-2,1502,3072,5.569568157196045,1454,1040.8969451582286,58,299,3.440000057220459,-388.8636363636364,27.562878787878788,40
